沙角台高，乱帆收向天边。	广州沙角炮台高高耸立，外国走私鸦片的船都远远地躲开了。
白晳通侯最少年，拣取花枝屡回顾。	只有平西伯这位白净英俊的少年，拣中了花枝对她频频回顾。
早携娇鸟出樊笼，待得银河几时渡？	该早点把她这娇乌带出牢笼，要等什么时候才能把银河飞渡。
恨杀军书抵死催，苦留后约将人误。	只恨军书拼死地催促，只好留下信约把人耽误。
相约恩深相见难，一朝蚁贼满长安。	相约恩深但相见可难，一朝蚁贼拥满了长安。
可怜思妇楼头柳，认作天边粉絮看。	可怜她本是思妇楼头的杨柳，却被人当作天边的杨花相看。
遍索绿珠围内第，强呼绛树出雕阑。	像索取绿珠那样围住了内宅，硬是她叫出了雕栏。
若非壮士全师胜，争得蛾眉匹马还？	如果不是将军大获全胜，哪能用匹马载她归还。
蛾眉马上传呼进，云鬟不整惊魂定。	她在马上一路传呼前进，云鬟还来不及梳整可惊魂已定。
蜡炬迎来在战场，啼妆满面残红印。	战场上点起蜡炬把她迎到，她满面啼痕还残留着红印。
专征萧鼓向秦川，金牛道上车千乘。	奏起箫鼓将军专征兵进秦川，金牛道上有车马千乘。
斜谷云深起画楼，散关月落开妆镜。	斜谷里云深之处是她的画楼，散关前明月西落她打开了妆镜。
传来消息满江乡，乌桕红经十度霜。	消息传遍了江南水乡，乌栖泛红已经历十度秋霜。
教曲伎师怜尚在，浣纱女伴忆同行。	可怜她当年教她歌曲的妓师还操旧业，和她一同演奏的女伴也记起这位同行。
旧巢共是衔泥燕，飞上枝头变凤凰。	在旧巢里本都是衔泥的燕子，她却飞上了枝头变成凤凰。
长向尊前悲老大，有人夫婿擅侯王。	女伴们只好老是在宴会上悲叹年龄长大，而她却找了个好夫婿贵为侯王。
当时只受声名累，贵戚名豪竞延致。	当年正为有了声名反受累，贵戚豪门都抢着要延致。
一斛明珠万斛愁，关山漂泊腰肢细。	一斛明珠的身价给她带来万斛的愁思，关山漂泊瘦损了她的腰肢。
错怨狂风飏落花，无边春色来天地。	但也不必怨恨飘扬落花的狂风，无边春色到来已使天地呈现芳姿。
尝闻倾国与倾城，翻使周郎受重名。	曾听说有了倾国倾城的美人，反而使周郎损伤了声名。
妻子岂应关大计，英雄无奈是多情。	妻子怎应影响大局，英雄无夸过于多情。
全家白骨成灰土，一代红妆照汗青。	全家的白骨早已化为灰土，一代红妆已照耀汗青。
君不见，馆娃初起鸳鸯宿，越女如花看不足。	君不见，当年馆娃宫刚盖起鸳鸯双飞双宿，花朵般的西施君王怎么看也不会厌足。
香径尘生乌自啼，屧廊人去苔空绿。	可是如今采香径尽是尘土只有鸟在啼叫，响屟廊也不见人迹空让苔长青绿。
换羽移宫万里愁，珠歌翠舞古梁州。	换羽移宫使万里之外也生愁，珠歌翠舞还热闹在咕梁州。
为君别唱吴宫曲，汉水东南日夜流！	给君另唱了一首吴宫曲，汉水向东南日日夜夜不停地奔流。
登高怅望八公山，琪树丹崖未可攀。	来到高处怅然地想起那八公山，那里尽是琪树丹崖我却未能登攀。
莫想阴符遇黄石，好将鸿宝驻朱颜。	不再希冀遇上黄石这样的人物，获得平定天下的本事，仅是希望留住青春永不老。
浮生所欠只一死，尘世无繇拾九还。	我这一生所亏欠的只是一死而已，人世间哪里去找可以起死回生的九转还丹啊。
我本淮王旧鸡犬，不随仙去落人间。	我本是淮南王的旧日鸡犬，叹当年不随着升仙却落在人间。
八月奔涛，千尺崔嵬，砉然欲惊。似灵妃顾笑，神鱼进舞；冯夷击鼓，白马来迎。伍相鸱夷，钱王羽箭，怒气强于十万兵。峥嵘甚，讶雪山中断，银汉西倾。	八月的钱塘江浪涛奔腾，潮头千尺犹如高大的山峰，潮声砉然使人魄动心惊。浪涛中仿佛灵妃在看着我笑，神鱼一边飞舞，一边逐浪前行，那河伯冯夷擂响了大鼓，浪潮如素车白马前来相迎。伍员曾被装进鸱夷革浮在江上，钱王曾命人用羽箭射退潮头，那怨气，那怒气，强过十万兵。啊，多么高峻、雄伟的海潮啊，使人惊讶雪山在崩断，银河之水向西而倾！
孤舟铁笛风清，待万里乘槎问客星。叹鲸鲵未翦，戈船满岸；蟾蜍正吐，歌管倾城。狎浪儿童，横江士女，笑指渔翁一叶轻。谁知道，是观潮枚叟，论水庄生。	我回到孤舟在清风前吹响铁笛，多么想乘坐木筏，浮游万里，当个天河问话的客星。唉，可叹凶猛的鲸鲵尚未剪除。那可怕的战船排满了江岸，但海上明月正吐着光辉，歌声音乐声充满了杭州城。只见那些弄潮的儿童，还有乘画舫观潮的男女游客，都笑着以手指我，说我是乘坐一叶扁舟的渔翁。他们有谁能知道？我其实是观潮的枚乘，也是论水的庄生。
沽酒南徐，听夜雨、江声千尺。	我客居南徐买酒喝，耳听夜雨潇潇，江中浪声千尺高。
记当年、江童东下，佛狸深入。	想起当年王濬曾东下伐吴，还有深入南侵的拓跋焘。
白面书生成底用？萧郎裙屐偏轻敌。	年轻识浅的白面书生有何用？萧渊藻那样的裙屐少年，偏偏又轻敌自傲。
笑风流北府好谈兵，参军客。	可笑掌北府兵者只爱纸上谈兵，重用的不过是自命风流的幕僚。
人事改，寒云白。旧垒废，神鸦集。尽沙沉浪洗，断戈残戟。落日楼船鸣铁锁，西风吹尽王侯宅。任黄芦苦竹打寒潮，渔樵笛。	如今的京口人事已改，又被白色的寒云笼罩；旧时的营垒一片荒芜，觅食的乌鸦聚集鸣噪。昔日的断戈残戟，都还沉在沙中被浪冲淘。夕阳余辉里只能听到，楼船上铁锁的声响；寒冷的西风吹拂下，旧时的王侯宅第一片荒烟蔓草。江边的黄芦苦竹任凭大潮拍打，那呜呜咽咽的水声应和着渔父憔夫凄凉的笛子音调。
落日松陵道，堤长欲抱城。	日落时在松陵道上前行，长长的江堤围绕着这座古城。
塔盘湖势动，桥引月痕生。	塔影在湖水中随波浮动，长桥牵引出一弯新月出生。
市静人逃赋，江宽客避兵。	街市寂静无人皆因逃税，江宽见不到客船都在逃避官兵。
廿年交旧散，把酒叹浮名。	二十年间故友旧交多离散，端起酒杯感叹这身外浮名。
落木淮南雁影高，孤城残日乱蓬蒿。	淮南树叶飘落孤雁高飞，残阳斜照着野草丛生的孤城。
天边故旧愁闻笛，市上儿童笑带刀。	听到阵阵笛声想起远方的朋友心中愁闷，在街市上看到天真的儿童都带着刀。
世事真成反招隐，吾徒何处续离骚。	世事如此真应该反《招隐》，我们这伙到何处续《离骚》。
昔人一饭犹思报，廿载恩深感二毛。	以前的人受人一饭还想着酬报，何况二十年的深恩叫我怎不感慨鬓生二毛。
官差捉船为载兵，大船买脱大船行。	官吏运兵捉民船，大船花钱得免捉大船。
大船芦港且潜避，小船无知唱歌去。	大船躲入芦苇港，小船不知底细唱着歌走远。
郡符昨下吏如虎，快桨追风摇急橹。	官府昨下文书官吏如虎，迎风摇桨急追赶。
村人露肘捉头来，背似土牛耐鞭苦。	船夫捉襟露肘捉住头，背如土牛挨皮鞭。
苦辞船小要何用，争执汹汹路人拥。	船小无用苦哀求，争执不休路人围观。
前头船见不敢行，晓事篙师敛钱送。	前船见状不敢行，懂事的船工急忙给官吏来凑钱。
船户家家坏十千，官司查点侯如年。	船户家家破费十千，等候官吏查点慢如年。
发回仍索常行费，另派门摊云雇船。	开船回走仍缴通行费，另外还摊派雇船的钱。
君不见，官舫嵬峨无用处，打鼓插旗马头住。	你没看见吗，官府的大船没动用，插旗鸣鼓停靠在码头边。
已过才追问，相看是故人。	已经错过才想起追问，仔细看才发现是故人。
乱离何处见，消息苦难真。	战乱随处可见，消息很难得到，即使得到也不知道是真是假。
拭眼惊魂定，衔杯笑语频。	擦一擦眼睛稳定一下自己激动的心情，举杯与朋友笑谈。
移家就吾住，白首两遗民。	请你搬到我家附近来住，两个白了头发的遗民。
人生千里与万里，黯然消魂别而已。	人生行路千万里，让人沮丧得似丢了魂的只有离别。
君独何为至于此，山非山兮水非水，生非生兮死非死！	您怎么弄到这样的地步，山不是山啊水不是水，生不是生啊死不是死。
十三学经并学史，生在江南长纨绮。	您十三岁就学遍了经史，您在江南出生，生长在富贵人家。
词赋翩翩众莫比，白璧青蝇见排诋。	词赋翩翩人们都无法与之相比，可是洁白无瑕的玉石，却被苍蝇所玷污，蒙受这不白之冤。
一朝束缚去，上书难自理。	被捆绑押走，给皇帝上书也难以给自己辩白。
绝塞千山断行李，送吏泪不止，流人复何倚。	塞外边远那千山丛中行人断绝，连押送的吏役都流泪不止，被流放的人还有什么可凭倚。
彼尚愁不归，我行定已矣。	吏役还怕不能回去，我这次肯定已矣。
八月龙沙雪花起，橐驼垂腰马没耳。	可怕的是八月里龙沙堆上雪花起，雪深得没过骆驼腰和马耳朵。
白骨皑皑经战垒，黑河无船渡者几。	边塞战争的遗迹都是累累白骨，黑水河里船只顺利渡过的没有几个。
前忧猛虎后苍兕，土穴偷生若蝼蚁。	前头怕遇上猛虎后面怕来苍兕，在土穴里偷生好比蝼蚁。
大鱼如山不见尾，张鬐为风沫为雨。	还有那山样的大鱼不见尾，张鬐成风吐沫为雨。
日月倒行入海底，白昼相逢半人鬼。	日月倒行沉入了海底，白昼所见半数是人半是鬼。
噫嘻乎悲哉！生男聪明慎勿喜，仓颉夜哭良有以，受患只从读书始，君不见，吴季子！	噫嘻乎悲哉！生了聪明的男孩切奠太欢喜，仓颉造字鬼要夜哭哭得有道理，吃苦遭灾只从读书开始，君不见，我们这位吴季子！
落拓江湖常载酒，十年重见云英，依然绰约掌中轻。灯前才一笑，偷解砑罗裙。	混迹江湖穷困失意，时常纵酒也愁闷难消。十年之后重见云英，她依然风姿绰约身材美妙。灯前相视而笑，轻解罗裙欢度醉人的春宵。
薄幸萧郎憔悴甚，此身终负卿卿。	我也似轻薄的萧郎游踪不定，今生愧对眼前的美人。
姑苏城上月黄昏。	姑苏城上的明月正西沉。
绿窗人去住，红粉泪纵横。	窗内的人儿难舍难分，她眼泪纵横多么伤心。
京中有善口技者。	京城里有个擅长表演口技的人。
会宾客大宴，于厅事之东北角，施八尺屏障，口技人坐屏障中，一桌、一椅、一扇、一抚尺而已。	正赶上有户人家宴请宾客，在大厅的东北角，安放了一座八尺高的屏风，表演口技的艺人坐在屏风里面，里面只放了一张桌子、一把椅子、一把扇子、一块醒木罢了。
众宾团坐。	众多宾客围绕着屏风而坐。
少顷，但闻屏障中抚尺一下，满坐寂然，无敢哗者。	一会儿，只听见屏风里面醒木一拍，全场马上静悄悄的，没有人敢大声说话。
遥闻深巷中犬吠，便有妇人惊觉欠伸，其夫呓语。	远远地听到幽深的巷子中有狗叫声，就有妇女惊醒后打呵欠和伸懒腰的声音，她的丈夫在说梦话。
既而儿醒，大啼。	过了一会儿孩子醒了，大声哭着。
夫亦醒。	丈夫也醒了。
妇抚儿乳，儿含乳啼，妇拍而呜之。	妇人抚慰孩子喂奶，孩子含着乳头哭，妇女又轻声哼唱着哄小孩入睡。
又一大儿醒，絮絮不止。	又有一个大儿子醒了，絮絮叨叨地说个不停。
当是时，妇手拍儿声，口中呜声，儿含乳啼声，大儿初醒声，夫叱大儿声，一时齐发，众妙毕备。	在这时候，妇女用手拍孩子的声音，口里哼着哄孩子的声音，孩子边含乳头边哭的声音，大孩子刚醒过来的声音，丈夫责骂大孩子的声音，同时响起，各种声音都模仿得极像。
满坐宾客无不伸颈，侧目，微笑，默叹，以为妙绝。	满座的宾客没有一个不伸长脖子，偏着头看，微笑，心中默默赞叹，认为奇妙极了。
未几，夫齁声起，妇拍儿亦渐拍渐止。	过了一会儿，丈夫打起了呼噜声，妇女拍孩子的声音也渐渐消失。
微闻有鼠作作索索，盆器倾侧，妇梦中咳嗽。	隐隐听到有老鼠作作索索活动的声音，盆子翻倒倾斜，妇女在梦中发出了咳嗽声。
宾客意少舒，稍稍正坐。	宾客们的心情稍微放松了些，渐渐端正了坐姿。
忽一人大呼：“火起”，夫起大呼，妇亦起大呼。	忽然有一个人大声呼叫：“起火啦”，丈夫起来大声呼叫，妇人也起来大声呼叫。
两儿齐哭。	两个小孩子一齐哭了起来。
俄而百千人大呼，百千儿哭，百千犬吠。	一会儿，有成百上千人大声呼叫，成百上千的小孩哭叫，成百上千条狗汪汪地叫。
中间力拉崩倒之声，火爆声，呼呼风声，百千齐作；又夹百千求救声，曳屋许许声，抢夺声，泼水声。	其中夹杂着劈里啪啦，房屋倒塌的声音，烈火燃烧物品爆裂的声音，呼呼的风声，千百种声音一齐发出；又夹杂着成百上千人的求救的声音，众人拉塌燃烧着的房屋时一齐用力的呼喊声，抢救东西的声音，救火的声音。
凡所应有，无所不有。	凡是在这种情况下应该有的声音，没有一样没有的。
虽人有百手，手有百指，不能指其一端；人有百口，口有百舌，不能名其一处也。	即使一个人有上百只手，每只手有上百个指头，也不能指明其中的任何一种声音来；即使一个人有上百张嘴，每张嘴里有上百条舌头，也不能说清其中一个地方。
于是宾客无不变色离席，奋袖出臂，两股战战，几欲先走。	在这种情况下，宾客们没有一个不变了脸色，离开席位，捋起衣袖，伸出手臂，两腿打着哆嗦，差一点争先恐后地跑了。
忽然抚尺一下，群响毕绝。	忽然醒木一拍，各种声响全部消失了。
撤屏视之，一人、一桌、一椅、一扇、一抚尺而已。	撤去屏风一看里面，只有一个人、一张桌子、一把椅子、一把扇子、一块醒木罢了。
思往事，渡江干，青蛾低映越山看。	回忆往事江边上，江水中映着美人的倩影和秀丽的远山。
共眠一舸听秋雨，小簟轻衾各自寒。	我俩同船共听滴滴答答的雨声，各自孤宿，竹席衾被单薄，默默地忍受着严寒。
飞花时节，垂杨巷陌，东风庭院。	又到了落花纷飞的时节，就在垂杨掩映的街巷，东风吹拂着庭院。
重帘尚如昔，但窥帘人远。	重重的帘幕一如往昔，但帘中窥望的人离我已远。
叶底歌莺梁上燕，一声声伴人幽怨。	浓叶间仍听见黄莺婉转歌唱，梁上依旧有燕语呢喃，一声声都有我的幽怨。
相思了无益，悔当初相见。	相思全都徒然无益，后悔当初与之相见。
衰柳白门湾，潮打城还。小城干接大城干。歌板酒旗零落尽，剩有渔竿。	衰败的杨柳围绕着建康城，潮水打着空城，又寂寞的返回。放眼望去，大街小巷依旧，而歌板声零零落落，酒帘子稀稀疏疏，昔日的繁华，如今只有孤寂的渔人在垂钓寒江。
秋草六朝寒，花雨空坛。	六朝的繁华如今就如秋草枯败，雨花台也已空寂无人。
更无人处一凭栏。	独自一人在此处凭栏远眺。
燕子斜阳来又去，如此江山。	燕子在斜阳里翩翩飞舞，归来又飞去，江山已是如此景象。
十年磨剑，五陵结客，把平生、涕泪都飘尽。老去填词，一半是、空中传恨。几曾围、燕钗蝉鬓。	十年磨砺宝剑，在豪杰聚集地区结交宾客，把平生的眼泪都飘落干尽。年华老去填写歌词，有一半是在虚空中传递愁恨。身边几时曾经围绕着头戴玉燕钗、鬓式如蝉翼的美人？
不师秦七，不师黄九，倚新声、玉田差近。	不学习秦观词的婉约，不学习黄庭坚词的奇崛，依照新的声调填词和张炎所作风格大致相近。
落拓江湖，且分付、歌筵红粉。	漫游江湖，放浪不羁，姑且吩咐筵席上红粉歌女演唱遣兴。
料封侯、白头无分。	料想自己直到头发全白，也没有封侯的缘分。
居庸关上子规啼，饮马流泉落日低。	居庸关上，杜鹃啼鸣，驱马更行，峰回路转，在暮霭四起中，忽遇一带山泉，从峰崖高处曲折来泻，顿令诗人惊喜不已：在这塞外的山岭间，竟也有南国般清冽的泉流，正可放马一饮，聊解旅途之渴。站在潺潺的山泉畔，遥看苍茫的远天，又见一轮红日，正沉向低低的地平线。那犹未敛尽的余霞，当还将远远近近的山影，辉映得明荧如火。
雨雪自飞千嶂外，榆林只隔数峰西。	此刻，峰影如燃的西天，还沐浴在一派庄严肃穆的落日余霞中。回看北天，却又灰云蒙黎。透过如林插空的千百峰嶂，隐约可见有一片雨雪，纷扬在遥远的天底下，将起伏的山峦，织成茫茫一白。意兴盎然地转身西望，不禁又惊喜而呼：那在内蒙古准格尔旗一带的“渝林”古塞，竟远非人们所想像的那般遥远！从居庸塞望去，它不正“只隔”在云海茫茫中耸峙的“数峰”之西么？
吴江叶元礼，少日过流虹桥，有女子在楼上，见而慕之，竟至病死。气方绝，适元礼复过其门，女之母以女临终之言告叶，叶入哭，女目始瞑。友人为作传，余记以词。桥影流虹，湖光映雪，翠帘不卷春深。一寸横波，断肠人在楼阴。游丝不系羊车住，倩何人、传语青禽？最难禁。倚遍雕阑，梦遍罗衾。	桥的倒影像彩虹在水中流动，湖光山色映衬着雪一般的波浪，翠绿的窗帘不曾挂起，使人感到春天更深将归他方。她那一寸秋波似的眼睛忽然看到，那牵新她柔肠的人出现在楼阴里。无奈游动的情丝系不住他的羊车，又能请谁作青鸟为她传语？最使她难以禁受的是，倚遍雕花栏杆再也看不见他，梦遍绫罗被褥也无法和他相遇。
重来已是朝云散，怅明珠佩冷，紫玉烟沉。前度桃花，依然开满江浔。钟情怕到相思路，盼长堤、草尽红心。动愁吟。碧落黄泉，两处难寻。	他再次来到这里，已见她如巫山神女化作胡云散去，他帐怨她如佩戴的明珠已经变冷，又如紫玉像轻烟一缕沉入地底。前次来时看到的桃花，如今依然开满江边之地，他也是无限钟情的人，最怕再看到引人相思的路，只盼长提上长满红心草，为他答谢她的深情蜜意。啊，他感动得发出了愁苦的低吟，上穷碧落下黄泉，两处茫茫皆难觅。
去岁山川缙云岭，今年雨雪白登台。	我去年就登临了缙云山，今年又置身于这风雪弥漫的白登山。
可怜日至长为客，何意天涯数举杯。	可怜我在冬至还在他乡为客，何曾想到会在此天涯举杯消愁。
城晚角声通雁塞，关寒马色上龙堆。	傍晚边城响起的号角声直通雁门关，关外积雪呈现出斑驳之色，延伸到白龙堆沙漠。
故园望断江村里，愁说梅花细细开。	遥想家乡在远方的江村之中，却又怕说起此时梅花已经盛开了。
结多少悲秋俦侣，特地年年，北风吹度。紫塞门孤，金河月冷，恨谁诉？回汀枉渚，也只恋江南住。随意落平沙，巧排作、参差筝柱。	北风年年有意吹到塞外，悲秋的大雁结成伴侣将飞向南方。寂寥的关塞，广漠的天空，满腔的哀怨向谁倾诉呢？雁群飞过水滩，越过水中的沙洲，只是恋着江南的故土，它们落在沙滩上象是筝上参差错落的弦柱。
别浦，惯惊移莫定，应怯败荷疏雨。	雁群飞蓟水滨，落下又惊起，似乎败荷疏雨都使雁群惊恐不安。
一绳云杪，看字字悬针垂露。	大雁升空继续高飞远去，它们象一条绳悬挂云端。
渐欹斜、无力低飘，正目送、碧罗天暮。	雁群飞得疲惫了，在暮色苍茫的天际渐渐欹斜低飘：但对江南的相思萦绕于心，它们没有停留下来。
写不了相思，又蘸凉波飞去。	又蘸着冷风离去。
贺六浑来，主三军队，壶关王气曾分。人说当年。离宫筑向云根。烧烟一片氤氲，想香姜、古瓦犹存。琵琶何处？听残《敕勒》，销尽英魂。	北齐神武帝高欢，英勇善战可主三军颠覆，颠覆北魏以建齐。本地人告诉我别看这儿是一片怪石峥嵘，当年高欢的避暑宫却就建筑在这片山石之上！如今宫虽亡，天龙寺的香火却仍极盛，在那一片氤氲的烟气之下，想来也还剩有当年“香姜阁”的古瓦吧？当年伴着琵琶高歌《敕勒歌》的“英灵”如今安在？只有这一曲《敕勒歌》还在至今流传人间！
霜鹰自去，青雀空飞，画楼十二，冰井无痕。春风袅娜，依然芳草罗裙。驱马斜阳，到鸣钟、佛火黄昏。伴残僧、千山万山，凉月松门。	射猎之事已逝，“王业”也已泯灭，曾经造了无数亭台楼阁，但而今却也无痕无迹了。岁月流逝，此地仍是春风春草，游女游冶。驱马游览渐至黄昏，满耳所听，唯闻佛寺晚钟；举目所望，唯见山月松门。
倩东君著力，系住韶华，穿小径，漾晴沙。正阴云笼日，难寻野马，轻飏染草，细绾秋蛇。燕蹴还低，莺衔忽溜，惹却黄须无数花。纵许悠扬度朱户，终愁人影隔窗纱。	你借着春神之力，系住了美好的时光。穿越过郊野的小路，在阳光下的沙洲上游漾。当阴云笼罩太阳时，你很难寻到水面野马似的云气；轻微的凉风染绿了野草，你像细细的秋蛇盘结在草际。燕子踏你时你飘向低处，莺儿衔你时你忽然溜去；你调皮地逗惹地上的无数落花，和它们尽情地嬉戏。纵使你悠悠扬扬地飘过红门，终究要发愁那人影被纱窗隔住。
惆怅谢娘池阁，湘帘乍卷，凝斜盼，近拂檐牙。疏篱罥，短垣遮，微风别院，明月谁家。红袖招时，偏随罗扇，玉鞭袅处，又逐香车。休憎轻薄，笑多情似我，春心不定，飞梦天涯。	你惆怅地飘荡在美女的闺楼外，湘妃竹帘儿正巧刚刚卷起，你便斜斜地凝眸向里望去，还将身子就近在牙状屋檐上挂住。你又飘过疏篱短墙相隔的别院，那里微风习习，你感到十分惊奇：谁家的庭院风景这样美丽！飘到街上看到美女摇扇时，你偏要随着罗扇扭来摆去；而当玉鞭抽马香车离去时，你又追在车后纠缠不已。啊，请不要憎恶游丝轻薄，好笑的是多情的游丝与我相似，我思念爱人的心就不能平静，梦魂常常向天边飞去。
当年博浪金椎，惜乎不中秦皇帝！咸阳大索，下邳亡命，全身非易。	当年张良在博浪沙雇佣刺客掷出的铁椎，可惜没能击中秦朝的始皇帝！咸阳城中大肆搜捕，迫使张良逃亡到下邳，保住性命实属不易。
纵汉当兴，使韩成在，肯臣刘季？算论功三杰，封留万户，都未是，平生意。	纵然是汉朝注定要勃兴，但如果韩王成在，张良是否愿做刘邦的臣子？料想评功论赏、名列“三杰”、受封留县食邑万户，这些都不是他心中的本意。
遗庙彭城旧里，有苍苔断碑横地。	留侯的祠庙在彭城故里，有布满苍苔的断碑横倒在地。
千盘驿路，满山枫叶，一湾洞水。	驿路盘曲弯绕，满山都是枫叶，流过一湾河水。
沧海人归，圯桥石杳，古墙空闭。	留侯早已魂归沧海，圯桥之石也无处可寻，只有古老的围墙空关紧闭。
怅萧萧白发，经过揽涕，向斜阳里。	心怀惆怅满头白发萧萧，经过古庙不禁涕泪交下，在那一抹斜阳里。
擅词场、飞扬跋扈，前身可是青兕？风烟一壑家阳羡，最好竹山响里。	雄踞词场，意气飞扬狂傲不羁，前生是否与辛弃疾一样是青兕转世呢？家乡在山光秀丽的阳羡，最妙的是，这也正好是词人蒋捷的故里呢。
摧砚几，坐罨画溪阴，袅袅珠藤翠。	携带着砚台与几案坐在罨画西南，但见柔曼飘逸，花如贯珠的藤蔓苍翠欲滴。
人生快意，但紫笋烹泉，银筝侑酒，此外总闲事。	人生的快意莫过于汲取山泉来烹煮紫笋茶，或是有美人弹着银筝来劝酒，除此之外，都是无关紧要的事了。
空中语。想出空中姝丽，图来菱角双髻。乐章琴趣三千调，作者古今能几。团扇底。也直得、尊前记曲呼娘子。旗亭药市，听江北江南，歌尘到处，柳下井华水。	随缘而生、变幻无常的词句，想象出随缘而出、飘渺动人的佳丽。画成了妙解音律的菱角，头上盘着发髻。创作了如《乐章》《琴趣》般的佳词逾千调，像这样的作者，从古至今能有几人呢？正当在团扇下与美人共吟唱，也值得在酒杯前换美人来记录下曲谱流传。且听这歌词声传遍旗亭、药市，飞遍江南江北，所到处绕梁动尘，正如当年有初汲井水的地方就有人歌柳永词一样。
崇墉积翠，望关门一线，似悬檐溜。瘦马登登愁径滑，何况新霜时候？画鼓无声，朱旗卷尽，惟剩萧萧柳。薄寒渐甚，征袍明日添又。	高耸的城墙翠色重叠，遥望居庸关门，地势逼仄陡峭呈一条直线，就像是悬挂在檐沟下的冰柱一般。乘着瘦马登登前行总担心山险路滑，更何况是在这刚下过霜的时候。彩饰的战鼓已寂然无声，朱红的军旗也已舒卷完毕，只剩下萧萧作响的杨柳。寒意渐渐由浅转深了，明日又要再添一件行装了。
谁放十万黄巾，泥丸不闭，直入车箱口。	是谁放任十万黄巾军，突破了这原本用丸泥便能防守的要塞，长驱直入车厢口？十二园林都在风雨笼罩下变得昏暗了，到处都响起了流徙鸿雁与离群野兽的悲鸣。
十二园陵风雨暗，响遍哀鸿离兽。	如此往事惊心动魄。
旧事惊心，长涂望眼，寂寞闲亭堠。	展望漫漫长路，嘹望敌情的亭楼久已被闲置，显得这样寂寞。
当年锁钥，董龙真是鸡狗。	当年这要塞上的守将和董龙一样，真是鸡狗。
寒山几堵，风低削碎中原路。秋空一碧无今古，醉袒貂裘，略记寻呼处。	冰冷的山峰有好几座，鹰在广阔平原乘风低掠过大地。秋日的万里晴空古今不变。醉酒之后敞开貂裘，大约记得当年打猎时呼鹰逐兽的事情。
男儿身手和谁赌。老来猛气还轩举。人间多少闲狐兔。月黑沙黄，此际偏思汝。	男儿空有一身武功绝技来和谁一争高下呢？即使老了也应该意气飞扬，因为人世间还有无数的奸佞之徒！月黑沙黄的夜晚，我这时偏偏想起了你。
无聊笑捻花枝说，处处鹃啼血。	烦愤无聊地苦笑，捻搓着花枝说，处处杜鹃在悲鸣啼血。
好花须映好楼台，休傍秦关蜀栈战场开。	美丽的花应去映衬漂亮的楼台，不要傍着秦关蜀栈在战场开。
倚楼极目深愁绪，更对东风语。好风休簸战旗红，早送鲥鱼如雪过江东。	登楼凭栏放眼看，心绪更惆怅。面对东风说一声。好风不要吹动战旗红，应早把如雪的鲥鱼吹送到江东。
题徐渭文《钟山梅花图》，同云臣、南耕、京少赋。十万琼枝，矫若银虬，翩如玉鲸。正困不胜烟，香浮南内；娇偏怯雨，影落西清。夹岸亭台，接天歌管，十四楼中乐太平。谁争赏？有珠珰贵戚，玉佩公卿。	十万株梅花，远远望去，就像是舞姿矫健的银虬，翩跹游动的玉鲸。它柔嫩如水，无法承受春日的轻烟，它的香气在南宫缭绕；它娇弱的身姿，偏偏怕那春雨的催折，它的影子在西厢的清静处飘荡。秦淮河两岸，耸立着亭台楼阁，还有上与天接的歌板声，十四楼中传出的是太平享乐的氛围。有谁竞相欣赏它迷人的风姿？是带着明珠玉佩的达官贵戚和列朝公卿。
如今潮打孤城，只商女船头月自明。	到如今这里却是潮打空城，只有歌女在船头对着皎洁的明月。
叹一夜啼乌，落花有恨；五陵石马，流水无声。	我感慨，一夜乌鸦的哀啼，带着人世憾事恨的落花；还有五陵前的石马，伴随着无声的流水。
寻去疑无，看来似梦，一幅生绡泪写成。	有意寻找却好像没有，看起来就好像是一场梦啊，这一切都是由泪水洒落在生绡上而成的。
携此卷，伴水天闲话，江海余生。	我携着这幅梅花画卷，对着水天向人诉说：小舟从此逝，江海寄余生。
夏日，史蘧庵先生招饮，即用先生《招余归自吴阊》过访原韵。分手柳花天，雪向晴窗飘落。转眼葵肌初绣，又红欹栏角。	我们分手离别时正是柳絮满空，如雪的柳花纷纷扬扬洒落窗前。转眼之间初开的葵花像锦绣般鲜美，旁边一朵艳丽的红花倚靠栏边。
别来世事一番新，只吾徒犹昨。	离别后世事焕然一新，只有我们俩还像从前。
话到英雄失路，忽凉风索索。	说到仕途失意怀才不遇之时，忽然凉风索索令人凄寒。
席帽聊萧，偶经过、信陵祠下。	我带着遮阳的帽子，略显萧瑟，偶然从信陵祠堂下面经过。
正满目、荒台败叶，东京客舍。	眼中含着泪水，荒凉的台阶上落满枯败的叶子，留宿河南开封。
九月惊风将落帽，半廊细雨时飘瓦。	九月的大风把帽子吹得随风飘零，走廊的大部分雨水飘洒屋瓦之上。
桕初红、偏向坏墙边，离披打。	乌桕树的叶子经秋霜而红，叶子散乱状朝着破烂的墙边伸展。
今古事，堪悲诧；身世恨，从牵惹。倘君而仍在，定怜余也。我讵不如毛薛辈，君宁甘与原尝亚。叹侯嬴、老泪苦无多，如铅泻。	过去的事情和现在的事情交织在一起，十分诧愤，怨恨自己的身世，因此受牵连。假如信陵君仍然在世，一定会给我留下怜爱的余地。难道我还不如毛公、薛公那些人吗？信陵君难道甘愿比平原君、孟尝君低一等吗？感慨侯嬴，泪水尽情流淌也觉得不够悲伤。
